label,message,message_length,word_count,char_count,uppercase_count,uppercase_ratio,exclamation_count,question_count,has_currency,has_numbers,has_url,has_email,processed_message_stem,processed_message_lemma
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,20,111,3,0.02702702702702703,0,0,0,0,0,0,jurong point crazi avail bugi great world buffet cine got amor,jurong point crazy available bugis great world buffet cine got amore
ham,Ok lar... Joking wif u oni...,29,6,29,2,0.06896551724137931,0,0,0,0,0,0,lar joke wif oni,lar joking wif oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,28,155,10,0.06451612903225806,0,0,0,1,0,0,free entri wkli comp win cup final tkt may text receiv entri questionstd text ratetc appli over,free entry wkly comp win cup final tkts may text receive entry questionstd text ratetcs apply over
ham,U dun say so early hor... U c already then say...,49,11,49,2,0.04081632653061224,0,0,0,0,0,0,dun say earli hor alreadi say,dun say early hor already say
ham,"Nah I don't think he goes to usf, he lives around here though",61,13,61,2,0.03278688524590164,0,0,0,0,0,0,nah dont think goe usf live around though,nah dont think go usf life around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",147,32,147,7,0.047619047619047616,2,1,1,1,0,0,freemsg hey darl week word back like fun still xxx std chg send rcv,freemsg hey darling week word back like fun still xxx std chgs send rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,77,16,77,2,0.025974025974025976,0,0,0,0,0,0,even brother like speak treat like aid patent,even brother like speak treat like aid patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,160,10,0.0625,0,0,0,1,0,0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,157,26,157,12,0.07643312101910828,3,0,1,1,0,0,winner valu network custom select receivea prize reward claim call claim code valid hour,winner valued network customer selected receivea prize reward claim call claim code valid hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,29,154,14,0.09090909090909091,1,1,0,1,0,0,mobil month entitl updat latest colour mobil camera free call mobil updat free,mobile month entitled update latest colour mobile camera free call mobile update free
